English Term,Tamil Term,Explanation
Profile augmentations,சுயவிவர விரிவாக்கம்,"சுயவிவர விரிவாக்கம் என்பது ஒரு நபரின் அங்கீகரிக்கப்பட்ட அடையாளத்தை வளர்ப்பதற்கும், அதை வலுப்படுத்துவதற்கும் பயன்படுத்தப்படும் ஒரு முறையாகும், இது நேர்மறையான தனிநபர் தகவல்களை தொகுத்து சேர்த்து இணையதளத்தில் ஒரு சரியான படத்தை உருவாக்குகிறது."
Profile features,சுயவிவர அம்சங்கள்,"சுயவிவர அம்சங்கள் என்பது ஒரு பயனர் தனது சமூக ஊடக சுயவிவரத்தில் அல்லது இணைய கணக்கில் கொடுக்கும் தனிப்பட்ட தகவல்கள், படங்கள் மற்றும் வேறு விவரங்கள் ஆகும். இவை சுயவிவர அம்சங்கள் கண்டுபிடிப்பிற்கும் சமூக ஊடக குற்றங்களுக்கும் பயன்படலாம்."
Profile requirements,சுயவிவரத் தேவைகள்,"இது ஒரு கணக்கை உருவாக்குவதற்கும் அல்லது ஒரு சேவையைப் பயன்படுத்துவதற்கும் தேவையான தனிநபரின் தகவல்களைக் குறிக்கிறது, இதன் மூலம் ஒரு நபரின் அடையாளத்தைத் தீர்மானிக்கவும் அவர்களின் நம்பகமான தன்மையை உறுதிப்படுத்தவும் முடியும்."
profiling,சுயவிவரம்,"சுயவிவரம் (புரோஃபைலிங்) என்பது ஒரு நபரின் அல்லது ஒரு அமைப்பின் தனித்துவமான பண்புகளை கண்டறிந்து, அவற்றை தொகுத்து ஒரு தனிப்பட்ட இலக்குகளை அடைவதற்காக பயன்படுத்துவதாகும். இணையத்தில் சுயவிவரம் பயன்படுத்தப்படும் போது, நபர்களின் அல்லதுமுறைமை  களின் இலக்குகள், நடத்தை, பழக்கங்கள் போன்றவற்றை கண்டறிந்து குறிப்பிட்ட நோக்கங்களுக்காக பயன்படுத்தப்படுகிறது."
Program Management,திட்ட மேலாண்மை,"திட்ட மேலாண்மை என்பது ஒரு உருப்பொருள்  தகவல் தொழில்நுட்ப திட்டங்களை திட்டமிடுதல், ஒழுங்கமைத்தல் மற்றும் கண்காணித்தலை குறிக்கிறது. இதன் மூலம், ஒரு உருப்பொருள்  தகவல் முழுமையைப் பாதுகாத்து, பாதுகாப்பு அச்சுறுத்தல்களை எதிர்த்துப் போராடுவதை நோக்கமாகக் கொண்டது."
Program Management Office,திட்ட மேலாண்மை அலுவலகம்,"திட்ட மேலாண்மை அலுவலகம் என்பது ஒரு உருப்பொருள்  திட்டங்களை ஒருங்கிணைத்து, மேற்பார்வையிட்டு, கண்காணித்து, நிர்வகிக்கும் அமைப்பாகும். இது திட்டங்களின் வெற்றியை உறுதி செய்ய, செலவுகளை கட்டுப்படுத்த, நேரத்தை மேலாண்மை செய்ய உதவுகிறது."
program manager,திட்ட மேலாளர்,"திட்ட மேலாளர்: ஒரு திட்ட மேலாளர் என்பவர் ஒரு அமைப்பில் மென்பொருள் உருவாக்கல், செயல்பாடு, மற்றும் பராமரிப்பு ஆகியவற்றை மேற்பார்வையிடும் ஒரு நபர் ஆவார்."
program metrics,திட்ட அளவீடுகள்,"திட்ட அளவீடுகள் என்பது ஒரு கணினி திட்டத்தின் திறன், செயல்திறன் மற்றும் செலவை அளவிடும் ஒரு முறையாகும். இது திட்டத்தின் வெற்றி அல்லது செயலிழப்பு யை அளவிட உதவுகிறது."
Program Organizational Unit,திட்ட ஒழுங்குமுறை பிரிவு,திட்ட ஒழுங்குமுறை பிரிவு என்பது ஒரு உருப்பொருள்  தகவல் தொழில்நுட்பத் திட்டத்தின் கட்டமைப்பின் ஒரு அங்கமாகும். இது வளங்கள் மற்றும் செயல்பாடுகளை ஒரே தளத்தில் பயன்படுத்த ஒழுங்குமுறை பணிகளை நிர்வகிக்க பயன்படுகிறது.
Programmable Read-Only Memory,படித்தல் மட்டுமே நினைவகம்,"படித்தல் மட்டுமே நினைவகம் என்பது ஒரு கணினி மற்றும் மற்ற எலக்ட்ரானிக் சாதனங்களில் பயன்படும் ஒரு தகவல் சேமிப்பு சாதனமாகும். இதில் உள்ள தகவல்கள் மீண்டும் எழுதப்பட்டு மீட்டெடுக்கப்படலாம், ஆனால் மாற்றப்படாது."
project,திட்டம்,"திட்டம் என்பது ஒரு குறிப்பிட்ட இலக்கை அடைவதற்காக திட்டமிடப்பட்ட செயல்பாடுகள் மற்றும் நடவடிக்கைகளின் தொகுப்பு ஆகும். இணைய குற்றங்களின் விசாரணையில், பைட்டிங் அல்லது மால்வேர் பரவுவதைத் தடுக்கும் திட்டம் வகுக்கப்படுகிறது."
Project Committee,திட்டக் குழு,"திட்டக் குழு என்பது ஒரு உருப்பொருள்  தொழில்நுட்ப செயல்பாடுகளை கண்காணிக்கும் அமைப்பாகும், இது செயல்திட்டங்களை செயல்படுத்துதல் மற்றும் மேற்பார்வையிடுதல், திட்டங்களை உருவாக்குதல் ஆகியவற்றை நிர்வகிக்கும்."
Project Management,திட்ட மேலாண்மை,"திட்ட மேலாண்மை என்பது ஒரு உருப்பொருள்  ஒரு திட்டத்தை திட்டமிடுதல், செயல்படுத்துதல், கண்காணித்தல் மற்றும் கட்டுப்படுத்துதல் போன்றவற்றை நிர்வகிக்கும் செயல்முறையாகும். இது திட்டங்களை திறம்பட மற்றும் பாதுகாப்பாக செயல்படுத்துவதற்காக உள்ளது."
Proof Key for Code Exchange,குறியீடு பரிமாற்றத்திற்கான சான்று விசை,"குறியீடு பரிமாற்றத்திற்கான சான்று விசை என்பது ஒரு பாதுகாப்பு செயல்முறையாகும், இது சரியான பாதுகாப்பு தளத்துடன் பயனரின் அங்கீகாரத்தை உறுதிசெய்ய உதவுகிறது."
Proof of Elapsed Time,காலத்தின் கடந்துபோகும் தன்மைக்கு சான்று,காலத்தின் கடந்துபோகும் தன்மைக்கு சான்று என்பது ஒரு குறிப்பிட்ட செயல்முறை அல்லது நிகழ்வு நடைபெற்ற காலத்தை நிரூபிப்பதற்கான ஆதாரமாகும். இது சம்பந்தப்பட்ட நேரத்தில் தொழில்நுட்ப சாதனங்களில் இருந்த தரவுகள் அல்லது அடையாளங்களின் அடிப்படையில் சான்றாக அமைகிறது.
Proof of stake consensus model,பங்கு ஒப்புதல் மாதிரிக்கான வளம் ,பங்கு ஒப்புதல் மாதிரிக்கான வளம்  என்பது ஒரு புதிய குழுமத்தில் பரிவர்த்தனைகளை உறுதி செய்வதற்கான ஒரு குறிப்பிட்ட இணைப்பு முறையாகும். இது முக்கியமாக ஒரு நன்கு பெரிய அளவிலான பொருத்தப்பட்ட மற்றும் பாதுகாப்பான வர்த்தகத்திற்கான பயன்படுத்தப்படுகிறது.
Proof of Work,வேலைக்கான சான்று,வேலைக்கான சான்று என்பது ஒரு கணினிமுறைமை ஒரு குறிப்பிட்ட செயல்பாட்டை முடிக்க எடுத்த நேரம் மற்றும் முயற்சிகளை நிரூபிக்கும் ஒரு முறையாகும்.
Proof of work consensus model,வேலைக்கு ஒப்புதல் அளிக்கும் மாதிரி நிரூபணம்,"வேலைக்கு ஒப்புதல் அளிக்கும் மாதிரி நிரூபணம் (Proof of work consensus model) என்பது ஒரு வகையான குறியாக்கத் தரவுத் தளத்தில் பரவலாக்கப்பட்ட கணக்கியல் பொறிமுறையாகும். இந்த முறையில், ஒரு புதிய பரிவர்த்தனையை ஒரு தொகுப்பில் (block) சேர்க்க வேண்டுமானால், கணினிகள் ஒரு குறிப்பிட்ட கணக்கைத் தீர்க்க வேண்டும், இந்தக் கணக்கு தீர்க்கப்படும் வேலையின் அளவே புதிய தொகுப்பின் நிரூபணமாகும்."
proper working state,சரியான வேலை நிலை,"சரியான வேலை நிலை என்பது ஒரு கணினிமுறைமை அல்லது சாதனம் சரியாக இயங்கும் நிலையைக் குறிக்கிறது, அதாவது அது திட்டமிட்டபடி வேலை செய்கிறது."
Property List,சொத்து பட்டியல்,சொத்து பட்டியல் என்பது கணினியின் கோப்பு அமைப்பில் அல்லது முகவரி பதிவேட்டில் உள்ள வரையறுக்கப்பட்ட செயல்முறைகள் மற்றும் பண்புகளைக் குறிப்பிடும் கோப்பு வடிவமாகும்.
Property Management System,சொத்து மேலாண்மை முறை,"சொத்து மேலாண்மை முறை என்பது ஒரு கணினி அடிப்படையிலான முறைமை ஆகும், இது ஒரு உருப்பொருள்  சொத்துக்களை திறம்பட மேலாண்மை செய்தல், பராமரித்தல் மற்றும் கண்காணித்தல் ஆகியவற்றிற்கு உதவுகிறது. இது வாடகை முறைகள், பராமரிப்பு மற்றும் சொத்து கணக்கெடுப்பு ஆகியவற்றை செயல்படுத்துகிறது."
Proportional Integral Derivative,விகிதமான முழுமையான வழித்தோன்றல்,"விகிதமான முழுமையான வழித்தோன்றல் (PID) என்பது ஒரு கட்டுப்பாட்டு முறையாகும், இது ஒரு செயல்முறையின் தற்போதைய நிலை, பயண நேரத்தில் எவ்வாறு மாறுகிறது மற்றும் எவ்வளவு நேரம் எடுக்கும் என்பதை கருத்தில் கொண்டு கட்டுப்படுத்துகிறது. சுருக்கமாக சொன்னால், ஒரு செயல்முறையை துல்லியமாக கட்டுப்படுத்துவதற்காக கடந்தகால தகவல்கள், தற்போதைய தகவல்கள் மற்றும் எதிர்கால மதிப்பீடுகள் ஆகியவற்றை ஒன்றுசேர்த்து பயன்படுத்துகிறது."
Proprietary Identifier Extension,உரிமையாளர் அடையாளங்காட்டி நீட்டிப்பு,"உரிமையாளர் அடையாளங்காட்டி நீட்டிப்பு என்பது ஒரு உருப்பொருள்  தனிப்பட்ட தகவல்களை, அதன் உரிமையாளருக்கு சாத்தியமான அறிமுகத்தை அளிக்கும் ஒரு குறியீடாகும். இது பொதுவாக வர்த்தக நடவடிக்கைகளில் பயன்படுத்தப்படும் ஒரு வழிமுறையாகும்."
proscribed information,தடைசெய்யப்பட்ட தகவல்,"தடைசெய்யப்பட்ட தகவல் என்பது சட்டத்தின் மூலம் பரப்புவதற்கு தடைசெய்யப்பட்ட தகவல்களைக் குறிக்கிறது. இதில் தேசிய பாதுகாப்பு, அரசியல், மற்றும் பொது ஒழுக்கத்தை பாதிக்கும் தகவல்கள் அடங்கும்."
ProSe,செயலாக்கம்,"செயலாக்கம் என்பது ஒரு சட்டப்படி நடத்தப்படும் நடவடிக்கை, ஆனால் சாதாரணமாக சட்ட அறிவாளியின் முன்னிலை இல்லாமல் ஒரு பக்கத்திலிருந்து இந்த வழக்கை நடத்த வழங்கப்படுகிறது.இந்த செயலாக்க முறையை பயன்படுத்தி, குற்றவியல் வழக்குகளில் நேரடியாக நீதிமன்றத்தில் காணப்பட வேண்டிய அவசியமில்லை, ஆனால் நீதிமன்றத்தில் அனைத்து சட்ட விதிமுறைகளையும் நிறைவேற்ற முடியும்."
Prose Checklist,புராஸி சோதனை பட்டியல்,புராஸி சோதனை பட்டியல் என்பது சமூக ஊடகங்களில் தனிப்பட்ட தகவல்களைப் பகிர்வதற்காக பயனர்களை கவர்வதற்காக குறிப்பிட்ட வேறுபட்ட செயல்முறைகளை உள்ளடக்கிய ஒரு சோதனை.
PRoT,PRoT,PRoT என்றால் Pre Remote-Access Trojan என்று அழைக்கப்படும் கணினியின் புகுத்துவாய் ஏந்திகள். இது நச்சுமென்பொருள் வகையைச் சேர்ந்தது மற்றும் அது பாதிக்கப்பட்ட கணினி அமைப்பின் உணரப்படாத அணுகலை அனுமதிக்கும்.
Protect,பாதுகாத்தல்,பாதுகாத்தல் என்பது ஒரு கணினிமுறைமை அல்லது வலையமைப்பை சேதம் அல்லது தகவல் திருட்டு போன்ற இடர் களிலிருந்து பாதுகாத்து அதன் தனியுரிமையை பேண உதவுகிறது.
Protected Access Credential,பாதுகாக்கப்பட்ட அணுகல் சான்றிதழ்,பாதுகாக்கப்பட்ட அணுகல் சான்றிதழ் என்பது ஒரு கணினி அமைப்பிற்கு அல்லது நெட்வொர்க்கிற்கு அணுகல் பெறுவதற்கு தேவையான ஒரு சான்றிதழ் அல்லது அடையாள சான்றிதழ் ஆகும். இது அமைப்பின் பாதுகாப்பை உறுதி செய்ய மற்றும் அங்கீகரிக்கப்பட்ட பயனர்களுக்கு மட்டுமே அணுகல் அளிக்க பயன்படுகிறது.
Protected EAP,பாதுகாக்கப்பட்ட EAP,பாதுகாக்கப்பட்ட EAP (எக்ஸ்டென்சிபில் ஆதன்டிக்கேஷன் ப்ரோட்டோக்கால்) என்பது வை-ஃபை அல்லது வயர்லஸ் இணைப்பின் பாதுகாப்பை அதிகப்படுத்த உதவும் ஒரு நெறிமுறையாகும். இது பயனர்கள் மற்றும் சேவையாளர்களுக்கு இடையே பாதுகாப்பான தொடர்பு அமைய உதவுகிறது.
Protected Execution Facility,பாதுகாக்கப்பட்ட மரணதண்டனை வசதி,"பாதுகாக்கப்பட்ட செயலாக்க வசதி என்பது ஒரு கணினி அமைப்பில் மென்பொருள் செயல்படும் போது, அதன் தனித்தன்மை மற்றும் பாதுகாப்பை உறுதி செய்ய உதவும் ஒரு முறையாகும்."
Protected Extensible Authentication Protocol,பாதுகாக்கப்பட்ட விரிவாக்க சான்றுப்படுத்தல் நெறிமுறை,"பாதுகாக்கப்பட்ட விரிவாக்க சான்றுப்படுத்தல் நெறிமுறை என்பது கணினி வலையமைப்புகளில் பாதுகாப்பான அங்கீகார செயல்முறைகளை செயல்படுத்துவதற்கான ஒரு செயல்நெறியாகும். இது பயனர்களின் அடையாளத்தை சரிபார்த்து, அவர்கள் பாதுகாப்பாக வலையமைப்பில் நுழைய அனுமதிக்கிறது."
Protected Mode,பாதுகாக்கப்பட்ட முறை,"பாதுகாக்கப்பட்ட முறை என்பது ஒரு கணினியின் இயக்குதளத்தில் உள்ள ஒரு பாதுகாப்பு அம்சம், இது தீங்கு விளைவிக்கும் மென்பொருள்கள் மற்றும் சாதகமான குறியீடுகள் கணினியை பாதிக்காமல் தடுக்கிறது."
Protected Session,பாதுகாக்கப்பட்ட அமர்வு,"பாதுகாக்கப்பட்ட அமர்வு என்பது ஒரு இணைய தொடர்பின் போது, தகவல்களை ரகசியமாகவும் பாதுகாப்பாகவும் பரிமாறிக் கொள்ளும் நெறிமுறையாகும். இது இணைய குற்றங்களிலிருந்து பயனர்களை பாதுகாப்பதற்கு முக்கியமானது."
Protected Storage,பாதுகாக்கப்பட்ட சேமிப்பு,பாதுகாக்கப்பட்ட சேமிப்பு என்பது ஒரு கணினியில் சேமிக்கப்பட்ட தரவுகளை பாதுகாக்க உதவும் ஒரு முறையாகும். இது தரவுகளை என்கிரிப்ட் செய்து பாதுகாப்பாக சேமிக்கிறது.
protection,பாதுகாப்பு,"ஒரு கணினியில் அல்லது வலைதளத்தில் வைக்கப்பட்டுள்ள தரவுகள்அங்கீகரித்தல் இல்லாமல் பார்க்கப்படாமல் அல்லது பயன்படுத்தப்படாமல் இருப்பதை உறுதி செய்யும் செயல்முறை பாதுகாப்பு. இது வைரஸ், ஹேக்கர்கள் மற்றும் பிற சேதங்களில் இருந்து தரவுகளை பாதுகாக்க உதவுகிறது."
Protection Bits,பாதுகாப்பு பிட்கள்,"பாதுகாப்பு பிட்கள் என்பது ஒரு கணினி அமைப்பில் பயனர்களின் அதிகாரத்தை கட்டுப்படுத்தும் நிரல் கூறுகளாகும். இது கணினி வன்பொருள், மென்பொருள் அல்லது தரவுகளை ஆக்க, படிக்க, எழுத, நீக்க போன்ற செயல்பாடுகளை கட்டுப்படுத்துகிறது."
Protection in Transit,போக்குவரத்தில் பாதுகாப்பு,போக்குவரத்தில் பாதுகாப்பு என்பது இணையத்தில் தகவல்கள் பரிமாற்றம் செய்யப்படும் போது அதன் பாதுகாப்பை உறுதி செய்வதாகும். இது தகவல்கள் திருடப்பட்டு அல்லது தவறான கைகளில் விழுந்துவிடாமல் உறுதி செய்கிறது.
protection needs,பாதுகாப்பு தேவைகள்,"பாதுகாப்பு தேவைகள் என்பது ஒரு தனிநபர், நிறுவனம் அல்லது அமைப்பின் செயல்பாட்டிற்கு அவசியமான தகவல்கள் மற்றும்முறைமை  களின் பாதுகாப்பை உறுதி செய்யும் செயல்கள்  ஆகும். இதில் ஒரு உருப்பொருள்  தகவல்களை தகுதியற்றவர்களிடம் இருந்து பாதுகாப்பது மற்றும் கேட்டாலும் செயல்பட முடியாதவர்களிடம் இருந்து பாதுகாப்பது ஆகியவை அடங்கும்."
protection philosophy,பாதுகாப்பு தத்துவம்,"பாதுகாப்பு தத்துவம் என்பது கணினி வலையமைப்புகள், தரவுகள், மற்றும் இதர எண்முறை  சொத்துக்களை சேதம், தாக்குதல், அல்லது பயன்படுத்துதலின் பாதுகாப்பை உறுதி செய்யும் அணுகுமுறை ஆகும்."
protection profile,பாதுகாப்பு சுயவிவரம்,பாதுகாப்பு சுயவிவரம் என்பது ஒரு கணினி அமைப்பின் பாதுகாப்பு தேவைகளை வரையறுக்கும் ஆவணமாகும். இது பாதுகாப்பு அளவுகோல்கள் மற்றும் அமைப்பின் பாதுகாப்பு செயல்திறனை மதிப்பீடு செய்ய உதவுகிறது.
Protective Distribution System,பாதுகாப்பு விநியோக முறை,பாதுகாப்பு விநியோக முறை என்பது கணினிமுறைமை  களுக்கு இடையே தகவல்களை பாதுகாப்பான முறையில் விநியோகிக்க உதவும் ஒரு பாதுகாப்பு முறையாகும். இது தகவல்களை மறைக்கப்பட்ட நிலையில் வெளியிடுவதற்கு முன்பு அதன் பாதுகாப்பை உறுதிப்படுத்துகிறது.
protective packaging,பாதுகாப்பு பேக்கேஜிங்,"பாதுகாப்பு பேக்கேஜிங் என்பது, சந்தைப்படுத்தல் பொருட்களை பாதுகாக்க பயன்படுத்தப்படும் ஒரு தொழில்நுட்பமாகும், இதில் வெளிப்புற அடுக்கு தயாரிப்பை தீங்கு விளைவிக்கும் மற்றும் வரவுக்கு முன் எச்சரிக்கையான நுண்ணறிவு அடையாளங்களை அடையாளப்படுத்தவும் தடுக்கவும் உதவுகிறது."
protective technologies,பாதுகாப்பு தொழில்நுட்பங்கள்,"பாதுகாப்பு தொழில்நுட்பங்கள் என்பது இணைய குற்றங்கள் மற்றும் தகவல் பாதுகாப்பு அச்சுறுத்தல்களில் இருந்து கணினிமுறைமை  களை பாதுகாக்க உதவும் மென்பொருள் மற்றும் வன்பொருள் தொழில்நுட்பங்கள் ஆகும். இதன் மூலம் கணினிகள், தரவு மற்றும் பயனர்கள் பாதுகாப்பாக இருக்க உதவுகிறது."
Protocol and Parameters Selection,நெறிமுறை மற்றும் அளவுருக்கள் தேர்வு,"நெறிமுறை மற்றும் அளவுருக்கள் தேர்வு என்பது ஒரு நெட்வொர்க்கில் தகவல்களை பரிமாற்றம் செய்யும் போது கடைப்பிடிக்க வேண்டிய விதிமுறைகளை செய்யப்படுதல் ஆகும். இதன் மூலம் தகவல்கள் பாதுகாப்பாகவும், துல்லியமாகவும் சென்றடைகிறது."
Provable prime,நிரூபிக்கக்கூடிய முதன்மை,நிரூபிக்கக்கூடிய முதன்மை என்பது ஒரு பெரிய தனி எண்ணை நிரூபிப்பதற்கான ஒரு கணித வழிமுறை. பொதுவாக மறையீட்டு மற்றும் பரிமாற்ற பாதுகாப்பில் அவற்றின் பாதுகாப்பிற்காக பயன்படுத்தப்படுகிறது.
Provider,வழங்குநர்,"வழங்குநர் என்பவர் இணைய சேவைகளை வழங்கும் நிறுவனம் அல்லது நபர் ஆவார். இவர்கள் இணைய பயனர்களுக்கு தேவையான இணைய இடம், மின்னஞ்சல், இணைய பாதுகாப்பு போன்ற சேவைகளை வழங்குகிறார்கள்."
Proximity Services,அருகிலுள்ள சேவைகள்,"அருகிலுள்ள சேவைகள் என்பது ஒரு வகையான தொழில்நுட்பம் ஆகும், இது ஒரு குறிப்பிட்ட பகுதியில் உள்ள சாதனங்களைக் கண்டறிந்து, அவற்றுடன் தொடர்பு கொள்ள பயன்படுகிறது. இது பொதுவாக ஸ்மார்ட்போன்களில் பயன்படுத்தப்படுகிறது."
proxy,இணைப்பு ,"இணைப்பு  என்பது ஒரு பாதுகாப்புக் கருவியாகும், இது நமது இணைய அடையாளத்தை மறைக்க உதவுகிறது மேலும் தனி நபர் விவரங்களை இணையத்தில் பாதுகாக்க உதவுகிறது."
proxy agent,பிரதிநிதி,பிரதிநிதி என்பது ஒரு கணினி வலையமைப்பில் மற்றொரு கணினியின் சேவைகளைப் பெறுவதற்காக இடையே செயல்படும் ஒரு மென்பொருள் அல்லது வன்பொருள் ஆகும்.
Proxy Auto Config,பிரதிநிதி  ஆட்டோ உள்ளமைவு,"பிரதிநிதி  ஆட்டோ உள்ளமைவு என்பது ஒரு வலைத்தள உலாவியின் மூலம் பிரதிநிதி  சர்வர் அமைப்பை தானாகவே உள்ளமைத்து, பாதுகாப்பு மற்றும் தனியுரிமை அபாயங்களை விசாரிக்காதவர்களிடமிருந்து பயனரை பாதுகாக்கும் ஒரு செயல்முறையாகும். இது இணைய சர்வர்களின் முகவரி மற்றும் துறைகளை மாற்றியமைக்க பயன்படுகிறது."
proxy server,பிரதிநிதி  சர்வர்,"பிரதிநிதி  சர்வர் என்பது, ஒரு கணினி வலையமைப்பில், ஒரு மூல சர்வருக்கும் கிளையன்டுக்கும் இடையில் அமைந்திருக்கும் ஒரு இடையீட்டாளர்  சர்வர் ஆகும். இது தனிநபரின் அடையாளத்தை மறைக்கவும், இணையத்தில் பாதுகாப்பாக தரவை பரிமாறவும் பயன்படுகிறது."
Proxy-WASM,பிரதிநிதி -வாஸ்,"பிரதிநிதி -வாஸ் என்பது ஒரு மென்பொருள் தொழில்நுட்பம் ஆகும், இது பிரதிநிதி  சர்வர்களில் உள்ள நிரல்களை வீடுகள் உருவாக்கி இயக்கும் தளங்களை வலுப்படுத்துகிறது மற்றும் தொகுக்கிறது."
Pseudonymity,பெயரளவு,"பெயரளவு என்பது இணையத்தில் ஒருவரின் அங்கீகரிக்கப்பட்ட  அடையாளத்தை மறைப்பதற்கு பயன்படுத்தும் ஒரு பெயரைக் குறிக்கிறது. இந்த பெயரளவு கட்டுப்பாடு பயனரின் அடையாளத்தை பாதுகாப்பதற்கும், இணையத்தில் அவரின் கருத்து சுதந்திரத்தை பாதுகாப்பதற்கும் பயன்படுகிறது."
Pseudonymous Identifier,பெயரளவு அடையாளங்காட்டி,"பெயரளவு அடையாளங்காட்டி என்பது ஒரு நபரின் அங்கீகரிக்கப்பட்ட  அடையாளத்தை மறைத்து, அவரது அடையாளத்தை போலியாக காட்டும் ஒரு கணினி அடையாளம் ஆகும். இது இணைய பாதுகாப்புக்காக பயன்படுகிறது."
Pseudorandom,சாதாரண நிகழ்வு,"சாதாரண நிகழ்வு என்பது ஒரு எண் தொடர் அல்லது வரிசையை உருவாக்குவதற்கான ஒரு முறையாகும், இது வாய்ப்பு சார்ந்ததாகத் தோன்றும், ஆனால் உண்மையில் ஒரு முன்னரே நிர்ணயம் செய்யப்பட்ட முறையின்படி உருவாக்கப்பட்டது."
Pseudorandom function family,தந்திரோபாய செயல்பாடு குடும்பம்,"தந்திரோபாய செயல்பாடு குடும்பம் என்பது ஒரு கணினி பாதுகாப்பு செயல்பாடு, இது நிஜ சீரற்றவை போல தோன்றும் மாறுபாடுகளை உருவாக்கும் ஒரு செயல்பாடு. இது குறியீடுகள், செயல்பாடுகள் மற்றும் இணையப் பரிமாற்றங்களில் பாதுகாப்பை சேர்ப்பதற்கு பயன்படுத்தப்படுகிறது."
Pseudorandom key,வேற்று வினோத விசை,"வேற்று வினோத விசை என்பது ஒரு போலி எண் தொடர் ஆகும், இது உண்மையில் வினோதமாக இருக்காது, ஆனால் ஒரு பாதுகாப்பான குறியீட்டின் அடிப்படையில் இதை உருவாக்கப்படுகிறது. அதாவது இது ஒரு எண் தொடர் உருவாக்கப்படும் முறையாகும், இது இரண்டு தரப்பினர் மட்டுமே தெரிந்த முறைகளின் அடிப்படையில் உருவாக்கப்படுகிறது."
pseudorandom number generator,புதிதாக சாதாரண எண் ஜெனரேட்டர்,"புதிதாக சாதாரண எண் ஜெனரேட்டர் என்பது ஒரு கணினிமுறைமை அல்லது நிரல், சாதாரணமான எண்களை பிரதியெடுப்பது போன்ற ஒரு எண்முறையைப் பயன்படுத்தி ஒரு தொடர் எண்களை உருவாக்குவதற்குப் பயன்படுத்தப்படுவதாகும். இது சாதாரண எண்களை உருவாக்கவில்லை, ஆனால் எண்களை சாதாரணமாக உருவாக்கவது போன்ற காட்சியை உருவாக்குவதாகும்."
Pseudo-Random Permutation,தந்திரோபாய சீரற்ற பரிமாற்றம்,தந்திரோபாய சீரற்ற பரிமாற்றம் என்பது வரிசையாக ஒரு குறிப்பிட்ட தரவுகளை மாற்றுவதற்குப் பயன்படும் ஒரு கணினி பாதுகாப்பு அல்காரிதம் ஆகும். இது பரிமாற்றம் செய்யப்படும் தரவுகளின் மறைப்பிற்குப் பயன்படுகிறது.
public,பொதுமக்கள்,"பொதுமக்கள் என்பது தனிநபர்கள் அல்லது தனியார்முறைமை  களின் தகவல்கள் அல்லது தளங்களைப் பயன்படுத்தும் அனைத்து மக்களையும் குறிக்கிறது. இதில் ஒரு நாட்டின் சட்டங்களின் கீழ் வரும் மக்கள், நிறுவனங்கள் மற்றும் அரசாங்க நிறுவனங்கள் அனைத்தும் அடங்கும்."
Public and Private Key,பொது மற்றும் தனியார் விசை,"பொது மற்றும் தனியார் விசை என்பது கணினிமுறைமை  களில் பயன்படுத்தப்படும் முக்கிய பாதுகாப்பு கூறுகளாகும். பொது விசை தகவலை குறியாக்கம் செய்யவும், தனியார் விசை அதை எதிர்-குறியாக்கம் செய்யவும் பயன்படுத்தப்படுகிறது."
Public CA,பொது CA,பொது CA என்பது பொது மக்கள் பயன்படுத்தும் வகையில் இணையத்தில் ஒரு உருப்பொருள்  அடையாளத்தை சரிபார்க்கும் மற்றும் அதன் பாதுகாப்பை உறுதிப்படுத்தும் சான்றிதழ் அதிகாரம் ஆகும்.
public channel,பொது சேனல்,"பொது சேனல்: சமூக ஊடகங்களில் ஒரு நிர்வாகியின் அனுமதியின்றி அனைவரும் சேர்க்கவும், பொதுவாக பார்வையிடவும் அனுமதிக்கப்படுவது ஆகும்."
Public cloud,பொது மேகம்,"பொது மேகம் என்பது பொதுவாகக் கிடைக்கும் ஒரு வலைத் தளம் ஆகும், இது பல்வேறு நிறுவனங்களுக்கு சேவைகளை வழங்குகிறது, அவை அதன் வளங்களை பல பயனர்களுடன் பகிர்ந்து கொள்கின்றன. இந்தச் சேவையின் மூலம், நிறுவனங்கள் தங்கள் தரவுகளை மிகவும் கண்காணிப்புடன் இணையத்தில் சேமிக்க முடியும்."
Public Credentials,பொதுமக்கள் சான்றிதழ்கள்,"பொதுமக்கள் சான்றிதழ்கள் என்பது பயனர்களின் பயன்பாட்டிற்காக அனைத்துப் பயனர்களுக்கும் பொதுவான சான்றிதழ்கள், அதாவது பயனர்பெயரும் கடவுச்சொல்லும் ஆகும். பொதுமக்கள் சான்றிதழ்களைப் பயன்படுத்துவதன் மூலம் நாம் சிக்கல்களைத் தவிர்க்கலாம்."
public domain software,பொதுத் தரவு மென்பொருள்,பொதுத் தரவு மென்பொருள் என்பது காப்புரிமை அல்லது தனியுரிமை கட்டுப்பாடுகள் எதுவுமின்றி பொதுமக்கள் பயன்படுத்தக்கூடிய ஒரு மென்பொருள் ஆகும். இது கட்டணம் இல்லாமல் பல ஆற்றல்கள் தொடர்பில் பயன்படுத்திக் கொள்ள முடியும்.
