English Term,Tamil Term,Explanation,english_description
planning,செய்திட்ட மிடல்,"செய்திட்ட மிடல் என்பது சோதனைக்கு முன் வரும் முதன்மையான நிலை ஆகும், இதில் ஒரு குழு அல்லது நபர் தங்கள் சோதனையில் சட்டத்தை எவ்வாறு மீறுவது என்று விளைவு  செய்கிறார்கள்.","Planning is the primary stage that precedes an experiment, in which a group or individual decides how to break the law in their experiment."
platform attribute certificate creator,தளத்தின் இயற்பண்பு சான்றிதழ் உருவாக்கியவர்,"தளத்தின் இயற்பண்பு சான்றிதழ் உருவாக்கியவர் என்பது ஒரு கணினி பாதுகாப்பு கருவியாகும், இது மேடையின் அடையாளத்தை ஒரு குறிப்பிட்ட பண்புகளுக்கு உரிமை சான்றிதழ் வழங்குவதற்காக உருவாக்கப்பட்டுள்ளது.",Platform Attribute Certificate Creator is a system security tool that is created to assign a platform identity to a specific attribute certificate.
platform certificate verification tool,மேடை சான்றிதழ் சரிபார்ப்பு கருவி,மேடை சான்றிதழ் சரிபார்ப்பு கருவி என்பது ஒரு கணினி செய்திட்ட ம் அல்லது பயன்பாட்டின் நம்பகத்தன்மையையும் பாதுகாப்பையும் உறுதிப்படுத்தும் ஒரு கருவியாகும். இது மேடையின் சான்றிதழை சரிபார்த்து அதன் நம்பகத்தன்மையையும் பாதுகாப்பையும் உறுதிப்படுத்துகிறது.,The Platform Certificate Verification Tool is a tool that verifies the authenticity and security of a computer program or application.It verifies the platform's certification and ensures its reliability and security.
platform configuration register,தள  உள்ளமைவு உள்நிழைவு,தள  உள்ளமைவு உள்நிழைவு (Platform Configuration Register) என்பது கணினி அமைப்பின் பாதுகாப்புமுறைமை  களை ஒழுங்குபடுத்தும் வன்பொருள் ஒரு பகுதி. இது கணினியின் துவக்க நிலை கண்டறிதல் மற்றும் தானியங்கு அளவிடுதல் போன்றவற்றை ஒழுங்குபடுத்துகிறது.,Platform Configuration Register (Platform Configuration Register) is a piece of hardware that regulates the security settings of a computer system.It also regulates system startup status detection and auto-scaling.
platform controller hub,தள  கட்டுப்பாட்டு மையம்,"தள  கட்டுப்பாட்டு மையம் (Platform Controller Hub) என்பது ஒரு கணினியின் நறுக்கு த் தொகுதியில் உள்ள ஒரு கட்டுப்பாட்டு மையம் ஆகும். இது கணினியின் பல்வேறு பாகங்களை ஒருங்கிணைத்து, ஒருங்கிணைந்த கணினி மேடையை வழங்குகிறது.",Platform Controller Hub (Platform Controller Hub) is a control center on a computer chip.It integrates various parts of the system and provides a unified computing platform.
platform firmware resilience,தள நிலைபொருள் மீட்புநிலை,"தள நிலைபொருள் மீட்புநிலை என்பது ஒரு கணினி அமைப்பின் திடப்பொருளின் பாதுகாப்பை அதிகரிக்கும் செயல்முறையாகும், இது பாதுகாப்பு அச்சுறுத்தல்களிலிருந்து மீள்வதற்கும், தாக்குதலின் போது முக்கிய செயல்பாடுகளை பராமரிக்கவும் உதவுகிறது.","Platform Firmware Resilience is the process of increasing the security of a computer system's hardware, enabling it to recover from security threats and maintain critical functions in the event of an attack."
platform information technology,தள தகவல் தொழில்நுட்பம்,"இந்த தள தகவல் தொழில்நுட்பம் என்பது ஒரு உருப்பொருள்  தகவல் தொழில்நுட்ப செயல்பாடுகளை ஒருங்கிணைக்கும் மற்றும் நிர்வகிக்கும் ஒரு தளமாகும். இது தகவல் பாதுகாப்பு, தரவு மேலாண்மை மற்றும் பிற தொழில்நுட்ப செயல்பாடுகளை உள்ளடக்கியது.","This Platform Information Technology is a platform that integrates and manages the information technology functions of an organization.It includes information security, data management and other technical functions."
platform key,தள விசை,"தள விசை என்பது ஒரு தனிப்பட்ட சான்றிதழ் அல்லது குறியீடு ஆகும், இது இணையத்தில் கணக்கில் பாதுகாப்பாகப் பயன்படுத்துவதற்கு அல்லது அமைப்பை அணுகவும், அதன் செயல்பாடுகளைத் திறக்கவும் அனுமதிக்கிறது.",A Platform Key is a unique certificate or code that allows you to securely use an account on the Internet or access a system and unlock its functions.
platform manifest correlation system,தள  வெளிப்படுத்தப்பட்ட தொடர்பு முறை,"தள  வெளிப்படுத்தப்பட்ட தொடர்பு முறை என்பது ஒரு கண்காணிப்பு முறையாகும், இது பல்வேறு தளங்களில் இருந்து தரவுகளை ஒப்பிட்டு தொடர்புகளை ஏற்படுத்தி சந்தேகத்திற்குரிய நடவடிக்கைகளை கண்டறிய பயன்படுகிறது. இது சேவை வழுத்தல், தரவு திருட்டு போன்ற சந்தேகத்திற்குரிய நடவடிக்கைகளை கண்டறிய பயன்படும்.","The Platform Manifest Correlation System is a monitoring method that compares and correlates data from different platforms to detect suspicious activity.It can be used to detect suspicious activities like service hijacking, data theft etc."
platform root of trust,நம்பிக்கையின் தள வேர்,நம்பிக்கையின் தள மூல என்பது ஒரு கணினி அமைப்பின் பாதுகாப்பிற்கான அடித்தளம் அமைப்பாகும். இது அமைப்பின் மென்பொருள் மற்றும் வன்பொருள் கூறுகள் அனைத்தும் நம்பகமானவை என்பதை உறுதிசெய்கிறது.,Platform Root of Trust is the basic system for the security of a computer system.It ensures that all the software and hardware components of the system are reliable.
platform security architecture,தள பாதுகாப்பு கட்டமைப்பு,"தள பாதுகாப்பு கட்டமைப்பு என்பது ஒரு உருப்பொருள்  தகவல் தொழில்நுட்பக் கட்டமைப்பின் பாதுகாப்பை உறுதிப்படுத்தும் ஒரு அமைப்பாகும். இது பயனர்கள், சேவைகள், மற்றும்முறைமை  களுக்கு இடையில் ஏற்படும் தொடர்புகளை வரையறுத்து, அவற்றின் பாதுகாப்பை உறுதிப்படுத்துகிறது.","Platform Security Architecture is a framework for ensuring the security of an organization's IT infrastructure.It defines the interactions between users, services, and systems and ensures their security."
platform services controller,தள சேவைகள் கட்டுப்பாட்டாளர்,"தள சேவைகள் கட்டுப்பாட்டாளர் என்பது ஒரு மேலாண்மை அமைப்பாகும், இது பல்வேறு தொழில்நுட்ப சேவைகளை ஒரே இடத்தில் ஒழுங்குபடுத்த உதவுகிறது. இது பாதுகாப்பு, அடையாளம் மற்றும் தகவல் சேவைகள் போன்ற பல்வேறு தொழில்நுட்ப சேவைகளை நிர்வகிக்க உதவுகிறது.","Platform Services Controller is a management system that helps regulate various technology services in one place.It helps manage various technical services like security, identity and information services."
platform trust,தள நம்பிக்கை,தள நம்பிக்கை என்பது ஒரு இணையத் தளத்தின் பாதுகாப்பு மற்றும் பயனர்களின் தனிப்பட்ட தகவல்களைப் பாதுகாப்பதற்கான உறுதியை குறிக்கிறது.,Platform Trust refers to a website's commitment to security and protection of users' personal information.
point at infinity,முடிவிலி புள்ளி ,"முடிவிலி புள்ளி  என்பது வடிவவியலிலும், மென்பொருள் பயன்பாட்டிலும் பயன்படும் ஒரு கருத்தாகும். இது பேரளவிலான திசையற்ற முனையினைக் குறிப்பதாகும்.",The point at infinity is a concept used in geometry and software applications.This indicates a largely non-directional tip.
point of contact,தொடர்பு புள்ளி,"தொடர்பு புள்ளி என்பது ஒரு நிறுவனம் அல்லது ஒரு தனிநபருடன் தொடர்பு கொள்ளும் போது, அவர்களை அடையாளம் காணவும், தகவல் பரிமாற்றத்தை உறுதி செய்யவும் பயன்படும் ஒரு முக்கிய அம்சமாகும்.",Point of Contact is an important feature used to identify an organization or an individual and ensure communication.
point of presence,இருப்பு புள்ளி,இருப்பு புள்ளி(பாயிண்ட் ஆஃப் பிரசென்ஸ்) என்பது ஒரு இணைய யமைப்பில் உள்ள இடத்தைக் குறிக்கும் ஒரு இணையவழி இணைப்பு புள்ளியாகும். இது ஒரு உருப்பொருள்  இணைய யமைப்பு செயல்பாட்டிற்காக இணையவழி அணுகலை அனுமதிக்கிறது.,A point of presence is an e-commerce connection point that represents a location in a network.It allows e-commerce access for a company's network operations.
pointer authentication code,புள்ளி உயிரியல் அங்கீகார குறியீடு,"புள்ளி உயிரியல் அங்கீகார குறியீடு (பி.ஏ.சி) என்பது ஒரு பாதுகாப்பு முயற்சி, இது ஒரு பிரத்தியேக குறியீட்டை நினைவாற்றலில் சேமித்து, பின்னர் குறிப்பிட்ட இடைமுகங்களை அனுப்புவதன் மூலம் செயல்படுத்தப்படும் குறியாக்கடன் செயலியின் செயல்திறனை பாதுகாக்க பயன்படுத்தப்படுகிறது, மீண்டும் மீண்டும் மற்றும் டிம்யூனிக்கேஷன்கள் வழியாக பரிமாற்றப்படுகிறது.","Pointer Authentication Code (PAC) is a security measure that stores a unique code in memory and is then used to protect the processor's performance with code that is executed by sending specific interfaces, repeated and exchanged via decommunications."
point-to-point protocol,முனைக்கு முனை  விவரிப்பு,முனைக்கு முனை  விவரிப்பு அல்லது புள்ளிக்குப் புள்ளி இணைய நெறிமுறை என்பது இணையத்தில் தரவுகளை பரிமாறிக்கொள்ளப் பயன்படும் ஒரு நெறிமுறை ஆகும். இது இரண்டு புள்ளிகளுக்கிடையில் தரவுகளை பரிமாறிக்கொள்ள பாதுகாப்பான மற்றும் நெகிழ்வான வழியை வழங்குகிறது.,Point-to-Point Protocol is a protocol used to exchange data over the Internet.It provides a secure and flexible way to exchange data between two points.
point-to-point tunneling protocol,முனைக்கு முனை  சுரங்கப்பாதை நெறிமுறை,முனைக்கு முனை  சுரங்கப்பாதை நெறிமுறை என்பது பாதுகாப்பான மற்றும் தனியுரிமை கொண்ட இணைய தொடர்புகளை உருவாக்குவதற்கான ஒரு நெறிமுறையாகும். இது தனிநபர்கள் அல்லது நிறுவனங்கள் பாதுகாப்பான முறையில் தங்கள் இணைய போக்குவரத்தை நிர்வகிக்க உதவுகிறது.,Point-to-Point Tunneling Protocol is a protocol for creating secure and private Internet communications.It helps individuals or organizations manage their internet traffic in a secure manner.
policy,கொள்கை,கொள்கை என்பது ஒரு உருப்பொருள்  அல்லது அமைப்பின் செயல்பாடுகளுக்கான வழிகாட்டுதல்கள் மற்றும் விதிமுறைகளை வரையறுக்கும் ஆவணமாகும். இது ஒரு உருப்பொருள்  பாதுகாப்பு மற்றும் தனியுரிமை கொள்கைகளை உருவாக்குவதில் இணைய குற்றங்களைத் தடுக்க முக்கியமான பங்கு வகிக்கிறது.,A policy is a document that defines the guidelines and rules for the operations of an organization or organization.It plays an important role in developing a company's security and privacy policies to prevent cybercrimes.
policy administration point,கொள்கை நிர்வாகம் புள்ளி,"கொள்கை நிர்வாகம் புள்ளி என்பது ஒரு நெட்வொர்க் அமைப்பில், பாதுகாப்புக் கொள்கைகளை நிர்வகிக்கவும் அமல்படுத்தவும் பயன்படும் ஒரு முக்கியமான புள்ளி ஆகும். இது பயனர்கள் மற்றும்முறைமை  களின் பாதுகாப்பை உறுதிப்படுத்துவதை நோக்கமாகக் கொண்டுள்ளது.",A Policy Administration Point is a critical point in a network system used to manage and enforce security policies.It aims to ensure the security of users and systems.
policy administrator,கொள்கை நிர்வாகி,"கொள்கை நிர்வாகி என்பவர் உருப்பொருள்  கணினி இணைய யமைப்பு மற்றும் தரவு பாதுகாப்பு குறித்த கொள்கைகளை உருவாக்குதல், நிர்வகித்தல் மற்றும் செயல்படுத்தும் பொறுப்பை ஏற்றுள்ள நபர் ஆவார். இவர் உருப்பொருள்  கொள்கைகள் அனைத்து பாதுகாப்புமுறைமை  களிலும் செயல்படுத்தப்படுவதை உறுதிசெய்கிறார்.","A Policy Administrator is a person responsible for creating, managing, and enforcing policies on the organization's computer network and data security.He ensures that company policies are implemented across all security systems."
policy and charging rules function,கொள்கை மற்றும் மின்னூட்ட  விதிமுறைகளின் செயல்பாடு,"கொள்கை மற்றும் மின்னூட்ட  விதிமுறைகளின் செயல்பாடு என்பது ஒரு வலையமைப்பில்  தரவு பரிமாற்றம் மற்றும் மின்னூட்ட ம் வசூலிப்பதற்கான விதிமுறைகளை வரையறுக்கும் ஒரு முறையாகும். இது நெட்வொர்க் வழங்குநர்கள் தங்கள் வளங்களை மிகவும் திறன்யாக நிர்வகிக்கவும், பாதுகாப்பை உறுதிப்படுத்தவும், மின்னூட்ட ங்களைத் துல்லியமாக வசூலிக்கவும் உதவுகிறது.","The Policy and Charging Rules Function is a method of defining data transfer and charging rules in a network.It enables network providers to manage their resources more efficiently, ensure security, and collect charges accurately."
policy engine,கொள்கை இயங்கமைப்பு,கொள்கை இயங்கமைப்பு: கணினி இணைய யமைப்பு மற்றும் நிறுவனத்தில் பயன்படுத்தப்படும் கொள்கைகளை செயல்படுத்தும் மென்பொருள்முறைமை  .,Policy Engine: A software system that implements policies used in a computer network and organization.
policy information point,கொள்கை தகவல் முனை ,"கொள்கை தகவல் முனை  என்பது ஒரு உருப்பொருள்  கொள்கைகள் மற்றும் விதிமுறைகள் சம்பந்தமான தகவல்களை சேமித்து, நிர்வகிக்கும் ஒரு புள்ளி ஆகும். இது உருப்பொருள்  கொள்கைகளை செயல்படுத்துவதிலும், அவற்றை பின்பற்றுவதிலும் முக்கியமான பங்கு வகிக்கிறது.",A Policy Information Point is a point that stores and manages information related to an organization's policies and regulations.It plays an important role in implementing the company's policies and following them.
policy machine,கொள்கை இயங்கமைப்பு,"கொள்கை இயங்கமைப்பு என்பது ஒரு உருப்பொருள்  கணினி இணைய யமைப்பில் இருக்கும் பாதுகாப்பு விதிகளை அமல்படுத்தும் ஒரு கணினி அமைப்பாகும். இது இணைய யமைப்பில் நடக்கும் அனைத்து செயல்பாடுகளையும் கண்காணித்து, கொள்கைகளை மீறும் போது எச்சரிக்கை செய்யும் அல்லது தடை செய்யும்.",Policy Machine is a computer system that enforces existing security rules on an organization's computer network.It monitors all activity on the network and alerts or bans policy violations.
policy retrieval point,கொள்கை மீட்பு முனை ,"கொள்கை மீட்பு முனை என்பது ஒரு பாதுகாப்பு செயல்முறையில், கொள்கையை மீட்கவும் அதனை சோதனை செய்யவும் பயன்படுத்தப்படும் முன் நிர்ணயிக்கப்பட்ட ஒரு இடம் அல்லது வழிமுறையாகும்.",A Policy Retrieval Point is a predetermined location or method used in a security process to retrieve and test policy.
port address translation,துறை முகவரி மொழிபெயரமைப்புச்ப்பு,"துறை முகவரி மொழிபெயரமைப்புச்ப்பு என்பது ஒரு வழியாக, பல பயனர்கள் ஒரே பொது இணைய துறைத்தின் மூலம் இணையத்தை அணுகும் போது, தனிப்பட்ட முகவரிகளை ஒதுக்கிவிடுவதற்குப் பதிலாக, தனிப்பட்ட கணினிக்கு தற்காலிக முகவரியை ஒதுக்குவதற்கான செயல்முறை ஆகும்.",Port Address Translation is the process of assigning a temporary address to an individual computer instead of assigning individual addresses when multiple users access the Internet through the same public Internet port.
port scan,துறை உள்வாங்குதல்,"துறை உள்வாங்குதல் என்பது ஒரு கணினி இணைய யமைப்பில் இயங்கிக் கொண்டிருக்கும் ஒரு கணினியின் துறைத்தை துண்டுதுண்டாக ஆய்வு செய்யும் முறையாகும். இது ஒரு கணினியின் பாதுகாப்பை முறியடிக்கவும், கணினிக்குள் புகுவதற்கும் பயன்படுத்தப்படுகிறது.",A port scan is a method of scanning the ports of a computer running on a computer network.It is used to break the security of a computer and infiltrate the computer.
port scanner,துறை அலகீடு ,"""துறை அலகீடு "" என்பது ஒரு கணினி வலையமைப்பில்  உள்ள ஒரு குறிப்பிட்ட கணினியில் திறந்திருக்கும் போர்ட்டுகளை அல்லது பாதுகாப்பு ஏற்றங்களை கண்டறியும் ஒரு செயல்முறையாகும். இது பொதுவாக பாதுகாப்பு வலுவாக்கல் அல்லது தாக்குதல் நோக்கங்களுக்காக பயன்படுத்தப்படுகிறது.","A ""port scanner"" is a process that detects open ports or security mounts on a specific computer on a computer network.It is generally used for defensive or offensive purposes."
port world-wide name,துறை உலகளாவிய பெயரமைப்புச் ,"துறை உலகளாவிய பெயரமைப்புச்  (போர்ட் உலகளாவிய பெயரமைப்புச்) என்பது கணினி இணைய யமைப்பின் பாதுகாப்பை உடைக்க, புதிய இணைப்பு துவங்கப்படும் போது சரியான சேவையகம்  கண்டறியப்படுகிறது என்பதை உறுதிப்படுத்த கணினி நெட்வொர்க் தொடர்புகளில் பயன்படுத்தப்படும் தனித்துவமான அடையாள குறியீட்டுத்தாள் ஆகும்.","Port World-Wide Name is a unique identifier used in computer network communications to ensure that the correct server is found when a new connection is initiated, to break the security of a computer network."
portable data file,கையடக்க தரவு கோப்பு,"கையடக்க தரவு கோப்பு என்பது ஒரு கணினியில் இருந்து மற்றொரு கணினிக்கு எடுத்துச் செல்லக்கூடிய மற்றும் இயக்கக்கூடிய தரவு கோப்பு ஆகும். இது தனிநபர் தகவல்கள், படங்கள், ஆவணங்கள் போன்றவற்றை மின்னணு அஞ்சல் அல்லது பிற இணைய வழிமுறைகள் மூலம் பகிர அனுமதிக்கிறது.","A Portable Data File is a data file that can be carried and played from one computer to another.It allows sharing of personal information, images, documents, etc. through electronic mail or other Internet means."
portable document format,கையடக்க  ஆவண வடிவம்,கையடக்க  ஆவண வடிவம் என்பது வழங்கப்பட்ட ஆவணத்தை அனைத்து கணினிகளிலும் வாசிக்கும் வகையில் சேமித்து வைக்கும் ஆவண வடிவம் ஆகும். இதில் இருந்து ஆவணத்தை மாற்றியமைப்பது மிகவும் கடினம்.,Portable Document Format is a document format that stores a given document so that it can be read on all computers.It is very difficult to modify the document from this.
portable network graphics,கையடக்க  இணைய யமைப்பு வரைகலை ,"கையடக்க  இணைய யமைப்பு வரைகலை  என்பது ஒரு வகை பட கோப்பு வடிவம் ஆகும், இது இணையத்தில் படங்களை சேமித்து பரிமாறுவதற்கு பயன்படுகிறது. இந்த வடிவம் மிகவும் சுருக்கப்பட்டு துல்லியமான படத்தை வழங்குகிறது.",Portable Network Graphics is a type of image file format used to store and exchange images over the Internet.This format provides a highly compressed and accurate image.
portable storage device,கையடக்க  சேமிப்பகம் சாதனம்,"கையடக்க சேமிப்பகம் சாதனம் என்பது தரவுகளை சேமிக்கவும், ஒரு கணினியில் இருந்து மற்றொரு கணினிக்கு மாற்றவும் பயன்படும் எளிதாக எடுத்துச் செல்லக்கூடிய ஒரு சாதனம் ஆகும். இது பொதுவாக USB டிரைவ் அல்லது பென் டிரைவ் என்று அழைக்கப்படுகிறது.",A portable storage device is an easily portable device used to store data and transfer it from one computer to another.It is commonly known as USB drive or pen drive.
portal vpn,இணையதள மெய்நிகர் தனியார் வலையமாக்கம் ,"இணையதள மெய்நிகர் தனியார் வலையமாக்கம்  என்பது இணையத்தில் பயனர்களின் தனியார் தகவல்களையும், அவர்களின் இணையத் தொடர்புகளையும் பாதுகாக்க உதவும் ஒரு தொழில்நுட்பம் ஆகும். இது பயனர்களின் இணையத் தொடர்புகளை மறைக்கப்பட்ட மற்றும் பாதுகாக்கப்பட்ட வழித்தடம் கள் மூலம் செலுத்துகிறது.",Portal VPN is a technology that helps protect users' private information and their internet connections on the Internet.It routes users' Internet communications through hidden and protected channels.
position designation system,நிலை பெயரிடுதல்முறைமை  ,"நிலை பெயரிடுதல்முறைமை என்பது ஒரு கணினி இணைய யமைப்பில், குறிப்பிட்ட இடத்தில் கணினி, இயந்திரங்கள் அல்லது ஏனைய சாதனங்களை கண்டறிய, அவற்றிற்கு தனித்தியங்கிற பெயரை வழங்கும் முறை ஆகும். இது இணையத்தில் உள்ள கணினி சாதனங்களைக் கண்டறிவதற்கும் அவற்றிற்கிடையே தொடர்புக்கும் பயன்படுகிறது.","A Position Designation System is a method of assigning a unique name to a computer, machine, or other device at a specific location on a computer network.It is used to locate and communicate with computing devices on the Internet."
positioning,நிலைப்படுத்தல்,"இணையகிரைம் செயல்பாட்டில், நிலைப்படுத்தல் என்பது ஒரு குறிப்பிட்ட இடத்தை சரியாக அடையாளம் கண்டு அதன் புவியியல் இருப்பிடத்தை செல்லுபடியாக அறிவதாகும். இது இணையதளத்தில் பயனரின் இடத்தை கண்டறியவும், ஆபத்து களை எதிர்கொள்ளவும் பயன்படுத்தப்படுகிறது.","In the cybercrime process, positioning means correctly identifying a specific location and validly knowing its geographic location.It is used to detect the user's location on the website and to counter the risks."
positive control material,நேர்வழிநடத்தல் கட்டுப்பாட்டு பொருள்,"நேர்வழிநடத்தல் கட்டுப்பாட்டு பொருள் என்பது ஒரு நிலையான அமைவு  மற்றும் அங்கீகரிக்கப்பட்ட குறியீட்டைக் கொண்ட ஒரு பொருள், இது பரிசோதனைகள் மற்றும் நிபுணர்கள் சரியான விளைவு களை எடுக்க உதவுகிறது.",A positive control material is a material with a consistent and recognized code that helps experimenters and experts make correct decisions.
possession and control of an authenticator,ஒரு உயிரியல் அங்கீகார குழுவின் உடைமை மற்றும் கட்டுப்பாட்டு,"ஒரு உயிரியல் அங்கீகார குழுவின் உடைமை மற்றும் கட்டுப்பாட்டு என்பது ஒரு நபர் அல்லது நிறுவனம் தகவல்முறைமை  கள் அல்லது பிற பாதுகாக்கப்பட்ட இணைய சேவைகளுக்கு அங்கீகாரம் அளிப்பதற்குத் தேவையான உயிரியல் அங்கீகார கருவியை சட்டப்படியாக வைத்திருப்பதையும், கட்டுப்படுத்துவதையும் குறிக்கிறது.",Possession and Control of an Authenticator means that a person or entity legally possesses and controls an authentication tool required to authenticate information systems or other protected Internet services.
post-market capability,சந்தைக்குப் பிந்தைய திறன்,"சந்தைக்குப் பிந்தைய திறன் என்பது ஒரு உருப்பொருள்  ஒரு பொருளை சந்தையில் வெளியிட்ட பின்னர், அந்த பொருளின் பாதுகாப்பு அல்லது செயல்பாட்டை மேம்படுத்துவதற்கான அதன் திறனைக் குறிக்கிறது.",Post-Market Capability refers to a company's ability to improve the safety or functionality of a product after it has been released to the market.
post-quantum cryptography,குவையம்  பிந்தைய குறியாக்கம்,"குவையம்  பிந்தைய குறியாக்கம் என்பது குவையம்  கணினிகள் மூலம் மாற்றப்படக்கூடிய குறியாக்கத்திற்கு எதிராக பாதுகாப்பை வழங்கும் ஒரு புதிய குறியாக்க முறையாகும். குவையம்  கணினிகள் வடிவமைக்கப்பட்டவுடன், கடவுச்சொற்கள் மற்றும் தனிப்பட்ட தகவல்கள் போன்ற பாதுகாக்கப்பட்ட தகவல்களை பாதுகாக்க இந்த முறை உதவுகிறது.","Post-Quantum Cryptography is a new encryption method that provides security against tamper-proof encryption by quantum computers.Once quantum computers are designed, this method helps protect protected information such as passwords and personal information."
potential efforts on threat events,அச்சுறுத்தல் நிகழ்வுகளைத் தடுக்கும் முயற்சிகள்,"அச்சுறுத்தல் நிகழ்வுகளைத் தடுக்கும் முயற்சிகள் என்பது நம்பகத்தன்மையையும், கணினிமய முயற்சிகளுக்கான திறன்யையும் உருவாக்குவதற்கான நடவடிக்கைகளாகும். இது இணைய பாதுகாப்பு அச்சுறுத்தல்களை எதிர்கொள்ளவும், அவற்றை நிர்ணயிக்கவும் உதவுகிறது.",Potential Efforts on Threat Events are measures to build credibility and capability for cyber efforts.It helps to detect and detect cyber security threats.
potential impact,ஆற்றல் வாய்ந்த தாக்கம் ,ஆற்றல் வாய்ந்த தாக்கம் : ஒரு குறிப்பிட்ட இணைய குற்றச் செயலினால் ஏற்படக்கூடிய ஆபத்து க்களையும் பாதிப்புகளையும் அளவிடுவதற்கு உதவும் ஒரு அளவீடாக ஆற்றல் வாய்ந்த தாக்கம்  விளங்குகிறது. இதன் மூலம் செயல்பாட்டிலுள்ள குறைபாடுகளை அடையாளம் காணலாம்.,"Potential impact: Potential impact is a metric that helps measure the potential risks and impacts of a particular cyber crime.By doing this, defects in performance can be identified."
potentially harmful application,தீங்கு விளைவிக்கும் பயன்பாடு,"தீங்கு விளைவிக்கும் பயன்பாடு என்பது ஒரு கணினி அல்லது அலைபேசியின் தகவல்களை திருடுவதற்கும், தகவல்களை பாதிப்படையச் செய்வதற்கும், அல்லது அச்சுறுத்தலை ஏற்படுத்துவதற்கும் வடிவமைக்கப்பட்ட ஒரு மென்பொருள் ஆகும்.","A Potentially Harmful Application is a piece of software designed to steal information, damage information, or otherwise threaten a computer or phone."
potentially identifiable personal information,அடையாளம் காணக்கூடிய தனிப்பட்ட தகவல்கள்,"அடையாளம் காணக்கூடிய தனிப்பட்ட தகவல்கள் என்பது ஒரு நபரின் நேரடி அல்லது மறைமுக அடையாளத்தைக் கண்டறிய உதவக்கூடிய தகவல்களாகும். இதில் பெயரமைப்புச், முகவரி, பிறந்த தேதி, தொலைபேசி எண் போன்ற தகவல்கள் அடங்கும்.","Potentially identifiable personal information is information that can be used to directly or indirectly identify an individual.This includes information such as name, address, date of birth, phone number etc."
power over ethernet,ஈத்தர்இணைய  மீது மின்,"ஈத்தர்இணைய  மீது மின் என்பது ஒரு தொழில்நுட்பம் ஆகும், இது ஈத்தர்நெட் கேபிள் மூலம் மின்சார வழங்கலை மின்யையும் தரவு பரிமாற்றத்தையும் செய்கிறது. இது ஒரு இணைய யமைப்பை எளிதாக நிர்வகிக்க உதவுகிறது.",Power over Ethernet is a technology that enables power supply and data transmission over an Ethernet cable.It helps manage a network easily.
power-on self-test,மின்சார சுய சோதனை,"கணினி துவங்கும் போது, அதன் உள்ளகங்கள் போன்றவை சரியாக செயல்படுகின்றனவா என்பதை சோதிக்கும் செயல் முறையே மின்சார சுய சோதனை ஆகும். இது கணினியின் அதிபர் கட்டுப்பாடுகள் செய்யப்பட்ட பின்பு தானாகவே துவங்கும்.",Power-on self-test is a method of checking whether the internals etc. are working properly when the computer starts up.It starts automatically after the system's principal controls are done.
practice statement,நடைமுறை அறிக்கை,"நடைமுறை அறிக்கை என்பது ஒரு நிறுவனம் அல்லது அமைப்பின் தகவல் பாதுகாப்பு நடைமுறைகளை விவரிக்கும் ஒரு ஆவணம். இது தகவல் பாதுகாப்புக் கொள்கைகள், செயல்முறைகள் மற்றும் தொழில்நுட்ப தீர்வுகளின் அனைத்து அம்சங்களையும் தொகுக்கிறது.","A Practice Statement is a document that describes an organization's or organization's information security practices.It covers all aspects of information security policies, processes and technical solutions."
practitioner experience,துறைகள்‌பிணைப்பியல்யாளர்களின் அனுபவம்,துறைகள்‌பிணைப்பியல்யாளர்களின் அனுபவம் என்பது இணைய குற்றங்களை தடுப்பதற்கும் தண்டிப்பதற்கும் இணைய பாதுகாப்பு நிபுணர்களால் பெறப்பட்ட அறிவு மற்றும் திறன்களைக் குறிக்கிறது. இது இணைய குற்றங்களைத் தீர்க்கும் போது பயன்படுத்தப்படும் சிறந்த துறைகள்‌பிணைப்பியல்கள் மற்றும் உத்திகளை உள்ளடக்கியது.,Practitioner experience refers to the knowledge and skills acquired by cyber security professionals to prevent and prosecute cyber crimes.It covers best practices and strategies used when solving cyber crimes.
